Back to Contents,Data 1: Weekly Working Gas in Underground Storage,,,,,,
Sourcekey,NW_EPG0_SAO_R48_BCF,NW_EPG0_SAO_R88_BCF,NW_EPG0_SAO_R89_BCF,NW_EPG0_SAO_R87_BCF,NW_EPG0_SSO_R87_BCF,NW_EPG0_SNO_R87_BCF,
Date,Weekly Lower 48 States Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Eastern Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Western Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Salt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Nonsalt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),
"Apr 09, 1999",1447,696,200,550,,,
"Apr 16, 1999",1452,699,195,558,,,
"Apr 23, 1999",1457,699,200,559,,,
"Apr 30, 1999",1495,722,204,569,,,
"May 07, 1999",1571,772,206,592,,,
"May 14, 1999",1651,818,216,617,,,
"May 21, 1999",1726,875,223,629,,,
"May 28, 1999",1796,917,233,646,,,
"Jun 04, 1999",1885,976,245,664,,,
"Jun 11, 1999",1941,1007,255,679,,,
"Jun 18, 1999",2020,1057,263,700,,,
"Jun 25, 1999",2106,1111,272,723,,,
"Jul 02, 1999",2169,1156,281,733,,,
"Jul 09, 1999",2228,1193,293,742,,,
"Jul 16, 1999",2308,1252,299,756,,,
"Jul 23, 1999",2348,1283,307,757,,,
"Jul 30, 1999",2373,1314,313,746,,,
"Aug 06, 1999",2414,1354,320,740,,,
"Aug 13, 1999",2461,1400,326,735,,,
"Aug 20, 1999",2508,1444,331,733,,,
"Aug 27, 1999",2575,1498,330,747,,,
"Sep 03, 1999",2638,1545,335,758,,,
"Sep 10, 1999",2718,1601,342,775,,,
"Sep 17, 1999",2794,1647,349,798,,,
"Sep 24, 1999",2871,1700,355,816,,,
"Oct 01, 1999",2933,1745,357,831,,,
"Oct 08, 1999",2989,1780,363,847,,,
"Oct 15, 1999",3038,1815,364,859,,,
"Oct 22, 1999",3058,1831,364,864,,,
"Oct 29, 1999",3068,1843,366,859,,,
"Nov 05, 1999",3088,1860,367,861,,,
"Nov 12, 1999",3105,1877,371,856,,,
"Nov 19, 1999",3090,1865,373,852,,,
"Nov 26, 1999",3103,1876,371,857,,,
"Dec 03, 1999",3035,1820,368,846,,,
"Dec 10, 1999",2962,1783,356,823,,,
"Dec 17, 1999",2843,1704,343,796,,,
"Dec 24, 1999",2663,1587,330,746,,,
"Dec 31, 1999",2523,1482,321,720,,,
"Jan 07, 2000",2418,1435,297,686,,,
"Jan 14, 2000",2310,1350,288,672,,,
"Jan 21, 2000",2109,1207,279,623,,,
"Jan 28, 2000",1856,1036,265,555,,,
"Feb 04, 2000",1647,910,256,482,,,
"Feb 11, 2000",1504,821,244,438,,,
"Feb 18, 2000",1377,733,232,411,,,
"Feb 25, 2000",1318,699,222,396,,,
"Mar 03, 2000",1288,676,214,397,,,
"Mar 10, 2000",1259,656,201,402,,,
"Mar 17, 2000",1192,608,192,392,,,
"Mar 24, 2000",1156,571,202,383,,,
"Mar 31, 2000",1153,567,205,382,,,
"Apr 07, 2000",1156,567,208,380,,,
"Apr 14, 2000",1123,535,213,374,,,
